date,HAL
2022-01-03 15:35:00+05:30,
2022-01-04 15:35:00+05:30,
2022-01-05 15:35:00+05:30,
2022-01-06 15:35:00+05:30,
2022-01-07 15:35:00+05:30,
2022-01-10 15:35:00+05:30,
2022-01-11 15:35:00+05:30,8.0
2022-01-12 15:35:00+05:30,
2022-01-13 15:35:00+05:30,7.0
2022-01-14 15:35:00+05:30,
2022-01-17 15:35:00+05:30,
2022-01-18 15:35:00+05:30,
2022-01-19 15:35:00+05:30,
2022-01-20 15:35:00+05:30,
2022-01-21 15:35:00+05:30,
2022-01-24 15:35:00+05:30,7.0
2022-01-25 15:35:00+05:30,7.0
2022-01-27 15:35:00+05:30,7.0
2022-01-28 15:35:00+05:30,
2022-01-31 15:35:00+05:30,
2022-02-01 15:35:00+05:30,
2022-02-02 15:35:00+05:30,
2022-02-03 15:35:00+05:30,
2022-02-04 15:35:00+05:30,
2022-02-07 15:35:00+05:30,8.0
2022-02-08 15:35:00+05:30,8.0
2022-02-09 15:35:00+05:30,8.0
2022-02-10 15:35:00+05:30,
2022-02-11 15:35:00+05:30,8.0
2022-02-14 15:35:00+05:30,8.0
2022-02-15 15:35:00+05:30,8.0
2022-02-16 15:35:00+05:30,8.0
2022-02-17 15:35:00+05:30,8.0
2022-02-18 15:35:00+05:30,8.0
2022-02-21 15:35:00+05:30,8.0
2022-02-22 15:35:00+05:30,8.0
2022-02-23 15:35:00+05:30,8.0
2022-02-24 15:35:00+05:30,8.0
2022-02-25 15:35:00+05:30,8.0
2022-02-28 15:35:00+05:30,8.0
2022-03-02 15:35:00+05:30,
2022-03-03 15:35:00+05:30,
2022-03-04 15:35:00+05:30,
2022-03-07 15:35:00+05:30,
2022-03-08 15:35:00+05:30,9.0
2022-03-09 15:35:00+05:30,9.0
2022-03-10 15:35:00+05:30,-9.0
2022-03-11 15:35:00+05:30,-1.0
2022-03-14 15:35:00+05:30,7.0
2022-03-15 15:35:00+05:30,7.0
2022-03-16 15:35:00+05:30,
2022-03-17 15:35:00+05:30,8.0
2022-03-21 15:35:00+05:30,8.0
2022-03-22 15:35:00+05:30,8.0
2022-03-23 15:35:00+05:30,8.0
2022-03-24 15:35:00+05:30,8.0
2022-03-25 15:35:00+05:30,8.0
2022-03-28 15:35:00+05:30,8.0
2022-03-29 15:35:00+05:30,8.0
2022-03-30 15:35:00+05:30,8.0
2022-03-31 15:35:00+05:30,
2022-04-01 15:35:00+05:30,
2022-04-04 15:35:00+05:30,
2022-04-05 15:35:00+05:30,
2022-04-06 15:35:00+05:30,
2022-04-07 15:35:00+05:30,
2022-04-08 15:35:00+05:30,
2022-04-11 15:35:00+05:30,
2022-04-12 15:35:00+05:30,
2022-04-13 15:35:00+05:30,
2022-04-18 15:35:00+05:30,
2022-04-19 15:35:00+05:30,
2022-04-20 15:35:00+05:30,7.0
2022-04-21 15:35:00+05:30,7.0
2022-04-22 15:35:00+05:30,
2022-04-25 15:35:00+05:30,7.0
2022-04-26 15:35:00+05:30,
2022-04-27 15:35:00+05:30,7.0
2022-04-28 15:35:00+05:30,7.0
2022-04-29 15:35:00+05:30,7.0
2022-05-02 15:35:00+05:30,7.0
2022-05-04 15:35:00+05:30,7.0
2022-05-05 15:35:00+05:30,7.0
2022-05-06 15:35:00+05:30,7.0
2022-05-09 15:35:00+05:30,7.0
2022-05-10 15:35:00+05:30,7.0
2022-05-11 15:35:00+05:30,7.0
