,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2022-01-03 09:21:00+05:30,2022-01-03 10:33:00+05:30,HAL,7.0,1226.45,1241.17,True,103.04000000000019,0.012002119939663278,0 days 01:12:00,0.01006071186566452
1,2022-01-04 09:21:00+05:30,2022-01-04 09:53:00+05:30,HAL,8.0,1234.77,1252.12,True,138.79999999999927,0.014051199818589623,0 days 00:32:00,0.013431560489922872
2,2022-01-05 09:21:00+05:30,2022-01-05 10:08:00+05:30,HAL,8.0,1250.39,1261.89,True,92.0,0.00919713049528547,0 days 00:47:00,0.008823568903441383
3,2022-01-06 09:21:00+05:30,2022-01-06 11:35:00+05:30,HAL,8.0,1260.56,1272.15,True,92.72000000000116,0.009194326331154523,0 days 02:14:00,0.00880513417573433
4,2022-01-07 09:21:00+05:30,2022-01-07 10:35:00+05:30,HAL,8.0,1255.77,1268.72,True,103.60000000000036,0.010312397970966057,0 days 01:14:00,
5,2022-01-10 09:21:00+05:30,2022-01-10 10:36:00+05:30,HAL,8.0,1268.25,1279.38,True,89.04000000000087,0.008775872264932079,0 days 01:15:00,0.008478110592496613
6,2022-01-11 09:21:00+05:30,2022-01-12 09:52:00+05:30,HAL,8.0,1294.61,1304.9,True,82.32000000000153,0.007948339654413446,1 days 00:31:00,0.00769235800862134
7,2022-01-13 09:21:00+05:30,2022-01-14 09:24:00+05:30,HAL,7.0,1318.64,1336.07,True,122.00999999999885,0.01321816416914384,1 days 00:03:00,0.011272662430833457
8,2022-01-17 09:21:00+05:30,2022-01-17 09:48:00+05:30,HAL,7.0,1369.64,1381.79,True,85.04999999999905,0.008870944189713985,0 days 00:27:00,0.007805480631303147
9,2022-01-18 09:21:00+05:30,2022-01-18 09:21:00+05:30,HAL,7.0,1412.54,1410.76,True,-12.459999999999809,-0.0012601413057329158,0 days 00:00:00,-0.0011332939196870989
10,2022-01-19 09:21:00+05:30,2022-01-19 14:49:00+05:30,HAL,7.0,1408.9,1422.95,True,98.34999999999968,0.009972318830293102,0 days 05:28:00,0.008957741501530574
11,2022-01-20 09:21:00+05:30,2022-01-20 09:21:00+05:30,HAL,7.0,1438.88,1436.72,True,-15.120000000000573,-0.0015011675747804416,0 days 00:00:00,-0.0013791140833817276
12,2022-01-21 09:21:00+05:30,2022-01-21 09:21:00+05:30,HAL,7.0,1423.68,1421.42,True,-15.819999999999936,-0.0015874353787367883,0 days 00:00:00,
13,2022-01-24 09:21:00+05:30,2022-01-28 09:18:00+05:30,HAL,7.0,1429.76,1442.95,True,92.33000000000038,0.009225324529991086,3 days 23:57:00,0.0084472070146676
14,2022-01-28 09:21:00+05:30,2022-01-28 11:52:00+05:30,HAL,7.0,1448.35,1467.11,True,131.31999999999994,0.012952670279973759,0 days 02:31:00,
15,2022-01-31 09:21:00+05:30,2022-01-31 09:30:00+05:30,HAL,7.0,1431.26,1451.02,True,138.31999999999994,0.013806017075863219,0 days 00:09:00,0.012122093813017223
16,2022-02-01 09:21:00+05:30,2022-02-01 10:16:00+05:30,HAL,7.0,1450.92,1463.07,True,85.04999999999905,0.008373997187990973,0 days 00:55:00,0.007403171220857274
17,2022-02-02 09:21:00+05:30,2022-02-02 10:57:00+05:30,HAL,7.0,1433.83,1444.93,True,77.70000000000095,0.007741503525522647,0 days 01:36:00,0.006708685891901309
18,2022-02-03 09:21:00+05:30,2022-02-03 13:12:00+05:30,HAL,7.0,1432.15,1445.53,True,93.65999999999917,0.00934259679502837,0 days 03:51:00,0.008017998120059306
19,2022-02-04 09:21:00+05:30,2022-02-04 09:50:00+05:30,HAL,8.0,1412.93,1425.33,True,99.19999999999891,0.008776089402871948,0 days 00:29:00,
20,2022-02-07 09:21:00+05:30,2022-02-10 14:27:00+05:30,HAL,8.0,1418.14,1429.19,True,88.39999999999964,0.007791896427715143,3 days 05:06:00,0.007803596539934696
21,2022-02-11 09:21:00+05:30,2022-03-02 09:20:00+05:30,HAL,8.0,1390.03,1405.63,True,124.80000000000109,0.011222779364474246,18 days 23:59:00,
22,2022-03-02 09:21:00+05:30,2022-03-02 09:38:00+05:30,HAL,8.0,1399.64,1415.6,True,127.67999999999847,0.011402932182561092,0 days 00:17:00,0.010537713923515615
23,2022-03-03 09:21:00+05:30,2022-03-03 09:57:00+05:30,HAL,8.0,1398.75,1410.54,True,94.31999999999971,0.008428954423592467,0 days 00:36:00,0.007579720871475009
24,2022-03-04 09:21:00+05:30,2022-03-04 09:38:00+05:30,HAL,8.0,1373.3,1414.21,True,327.28000000000065,0.029789557998980618,0 days 00:17:00,
