date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,10103.0500,10103.0500,0.0000,0.0000,10000.0000,0.0000,0.0000,103.0500,103.0500,10103.0500,0.0000,0.0000,103.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0103,0.0103,0.1635,0.0000,,,10000.0000,0.0000,,
2022-01-04 00:00:00+05:30,10241.8200,10241.8200,0.0000,0.0000,10000.0000,0.0000,0.0000,241.8200,241.8200,10241.8200,0.0000,0.0000,138.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0137,0.0242,0.1924,0.0000,,,10097.5314,0.0098,,
2022-01-05 00:00:00+05:30,10333.8700,10333.8700,0.0000,0.0000,10000.0000,0.0000,0.0000,333.8700,333.8700,10333.8700,0.0000,0.0000,92.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0090,0.0334,0.1774,0.0000,,,10154.4341,0.0056,,
2022-01-06 00:00:00+05:30,10426.6200,10426.6200,0.0000,0.0000,10000.0000,0.0000,0.0000,426.6200,426.6200,10426.6200,0.0000,0.0000,92.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0090,0.0427,0.1694,0.0000,,,10062.7433,-0.0090,,
2022-01-07 00:00:00+05:30,10530.2200,10530.2200,0.0000,0.0000,10000.0000,0.0000,0.0000,530.2200,530.2200,10530.2200,0.0000,0.0000,103.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0099,0.0530,0.1670,0.0000,,,10103.6838,0.0041,,
2022-01-10 00:00:00+05:30,10619.2400,10619.2400,0.0000,0.0000,10000.0000,0.0000,0.0000,619.2400,619.2400,10619.2400,0.0000,0.0000,89.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0085,0.0619,0.1621,0.0000,,,10209.8626,0.0105,,
2022-01-11 00:00:00+05:30,10502.3400,262.3400,10240.0000,10356.9000,10000.0000,0.0000,-116.9000,619.2400,502.3400,10502.3400,0.0000,0.0000,-116.9000,0.9800,0.9800,10240.0000,10240.0000,10240.0000,0.0000,1,0,-0.0110,0.0502,0.1639,-0.0110,,,10240.2277,0.0030,,
2022-01-12 00:00:00+05:30,10701.5300,10701.5300,0.0000,0.0000,10000.0000,0.0000,0.0000,701.5300,701.5300,10701.5300,0.0000,0.0000,199.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0190,0.0702,0.1868,0.0000,,,10318.8199,0.0077,,
2022-01-13 00:00:00+05:30,10705.8300,1471.0800,9234.7500,9230.4600,10000.0000,0.0000,4.2900,701.5300,705.8300,10705.8300,0.0000,0.0000,4.3000,0.8600,0.8600,9234.7500,9234.7500,9234.7500,0.0000,1,0,0.0004,0.0706,0.1761,0.0000,,,10352.2754,0.0032,,
2022-01-14 00:00:00+05:30,10823.5300,10823.5300,0.0000,0.0000,10000.0000,0.0000,0.0000,823.5300,823.5300,10823.5300,0.0000,0.0000,117.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0110,0.0824,0.1760,0.0000,,,10340.3108,-0.0012,,
